week,n,mean,median,sd,age,age25,age75,bmi,bmi25,bmi75,q25,q75,qmean,qmedian,qq25,qq75
"[-24,-22)",7,16.3298286710467,14.1000003814697,9.6045844096276,29.5463470319635,0.000337287066574925,0.00337287066574925,29.9129330317179,29.2796686887741,31.3948245048523,10.3999996185303,18.6500005722046,0.684231128011431,0.688888907432556,0.579341471195221,0.820016324520111
"[-22,-20)",4,5.56799983978272,5.09999990463257,2.56973961222967,27.160102739726,0.000310046834928379,0.00310046834928379,22.589599609375,22.589599609375,22.589599609375,4.19999992847443,6.46799981594086,0.255273116752505,0.231449097394943,0.164864344522357,0.321857869625092
"[-20,-18)",8,7.88541663686435,7.75,4.56229745396514,33.838299086758,0.000386281953045182,0.00386281953045182,23.1247005462647,23.1247005462647,23.1247005462647,3.82500004768372,9.78749996423721,0.373812619907161,0.447619214653969,0.114247266203165,0.50151389837265
"[-18,-16)",5,8.17999973297119,5.90000009536743,4.99369572720978,28.8776255707763,0.000329653259940368,0.00329653259940368,,,,5.69999980926514,9.39999961853027,0.402587622404099,0.302613466978073,0.298657715320587,0.523238360881805
"[-16,-14)",8,13.0812498480082,11.0999999046326,9.58227290682041,29.9927511415525,0.000342383003899001,0.00342383003899001,28.1989498138428,27.2423248291016,31.5185251235962,7.00000011920929,14.474999666214,0.551008820533752,0.650118112564087,0.384544372558594,0.695716107264161
"[-14,-12)",11,9.29912731864236,7.5,4.95928869185104,31.537899543379,0.000360021684285148,0.00360021684285148,27.6038701057434,24.6598599910736,30.5478802204132,5.87599992752075,11.4500002861023,0.434755057773807,0.440071552991867,0.279865093529224,0.553239595144987
"[-12,-10)",25,13.3254160666466,11.6000003814697,8.09578601656533,30.110502283105,0.000343727195012614,0.00343727195012614,26.0375003814697,23.1385002136231,29.6523008346558,8.30000019073486,13.8000001907349,0.571318294350058,0.615384638309479,0.413237929344177,0.67258882522583
"[-10,-8)",14,18.9048000403813,15.6000003814697,11.9780493391309,32.0342465753425,0.000365687746293864,0.00365687746293864,26.3789491653442,25.1270241737366,27.6308741569519,10.275000333786,26.1719999313355,0.663165087146418,0.664185613393784,0.583333343267441,0.776666656136513
"[-8,-6)",17,12.3738118199741,11.5,6.33140226396002,28.8676940639269,0.000329539886574508,0.00329539886574508,22.7964496612549,22.69837474823,22.8945245742798,7.19999980926514,15.8000001907349,0.578979830093244,0.634517788887024,0.423971384763718,0.758687257766724
"[-6,-4)",2,8.29999995231628,8.29999995231628,2.68700556620401,30.5915525114155,0.000349218635975063,0.00349218635975063,21.4843997955322,21.4843997955322,21.4843997955322,7.35000002384186,9.24999988079071,0.492844372987747,0.492844372987747,0.431574240326881,0.554114505648613
"[-4,-2)",5,16.5804801940918,13.3999996185303,12.2342452464886,31.1132420091324,0.000355173995538041,0.00355173995538041,,,,9,17,0.600195261836052,0.658920541405678,0.540540516376495,0.687919437885284
"[-2,0)",3,15.5555553701189,13.6999998092651,11.0343065755297,30.0311643835616,0.000342821511227873,0.00342821511227873,26.5139999389648,26.5139999389648,26.5139999389648,9.63333324591319,20.5499997138977,0.635360684659746,0.687757909297943,0.486991653839747,0.809928327798843
"[0,2)",12,9.0708332657814,6,9.87845312059787,29.4449200913242,0.000336129224786806,0.00336129224786806,45.0932006835938,45.0932006835938,45.0932006835938,3.92500001192093,9.02500033378601,0.352213323116303,0.296175986528397,0.145749133080244,0.502751022577286
"[2,4)",4,14.9500000476837,7.40000009536743,17.5691964920433,30.3405821917808,0.000346353677988366,0.00346353677988366,26.5730991363525,26.5730991363525,26.5730991363525,4.60000014305115,17.75,0.464098107069731,0.3652069196105,0.17554584518075,0.653759181499481
"[4,6)",3,5.60000006357829,5.57280015945435,0.387117325886445,29.8256849315069,0.000340475855382498,0.00340475855382498,18.8343992233276,18.8343992233276,18.8343992233276,5.40000009536743,5.78640007972717,0.288316468397776,0.276845633983612,0.263422816991806,0.307474702596664
"[6,8)",5,15.4199998855591,15.1000003814697,5.83455196151069,32.3412100456621,0.000369191895498426,0.00369191895498426,20.6193008422852,20.6193008422852,20.6193008422852,11.3999996185303,16,0.718814420700073,0.771604955196381,0.614213168621063,0.774131298065186
"[8,10)",5,8.47999973297119,8,4.76623513670375,29.414497716895,0.000335781937407477,0.00335781937407477,38.4850006103516,38.4850006103516,38.4850006103516,6.09999990463257,8.39999961853027,0.417380943894386,0.440329223871231,0.29479768872261,0.45319464802742
"[10,12)",5,8.89952001571655,6.5,5.37955035599631,33.4831050228311,0.000382227226288026,0.00382227226288026,39.1929016113281,39.1929016113281,39.1929016113281,5.09759998321533,11.7000002861023,0.40366458594799,0.320950955152512,0.190355330705643,0.618127763271332
"[12,14)",5,9.07999992370605,5.30000019073486,8.79926095443857,31.1353881278539,0.000355426805112487,0.00355426805112487,,,,4.90000009536743,5.80000019073486,0.369569370150566,0.268339782953262,0.222007721662521,0.290123462677002
"[14,16)",12,8.95833341677984,7.07000017166138,5.72494046160193,30.897203196347,0.000352707799045057,0.00352707799045057,27.7621002197266,25.7419004440308,28.1388502120972,5.14999997615814,10.8999998569489,0.401704256112377,0.393331721425056,0.211913578212261,0.586273655295372
"[16,18)",14,10.4310000851041,8.65000009536743,7.10596247059043,31.1738584474886,0.000355865964012427,0.00355865964012427,43.2038240432739,41.1225867271423,45.2850613594055,5.23269999027252,12.4000000953674,0.472074774049577,0.463221937417984,0.254127852618694,0.664279788732529
"[18,20)",16,13.3036251664162,10.75,7.3315166606027,30.0848173515982,0.000343433988031943,0.00343433988031943,29.9119741916657,26.9261621236801,32.8977862596512,8.14999973773956,16.4000000953674,0.599343160167337,0.583888024091721,0.444813378155232,0.747795671224594
"[20,22)",12,8.95726656913757,9.25,3.895786876706,28.8493150684932,0.000329330080690561,0.00329330080690561,31.2406997680664,31.2360496520996,31.2453498840332,6.07499980926514,10.8993997573853,0.450335903093219,0.498406246304512,0.288466352969408,0.607771903276444
"[22,24)",15,14.2300888061523,15.5,8.63968816000919,32.2202054794521,0.000367810564833928,0.00367810564833928,23.8842000961304,21.1248497962952,26.6435503959656,5.38499999046326,19.6499996185303,0.56635463072194,0.623703693350156,0.260351821780205,0.798237949609757
