week,n,mean,median,sd,age,age25,age75,bmi,bmi25,bmi75,q25,q75,qmean,qmedian,qq25,qq75
"[-40,-38)",4815,87.5143267569801,86,9.61404743433679,29.9228310502283,0.000341584829340506,0.00341584829340506,23.7185750007629,20.9365997314453,28.0403995513916,81,93,0.551369826470701,0.57145881652832,0.318281173706055,0.803539752960205
"[-38,-36)",5771,87.5167908523922,87,9.69891508060237,29.60399543379,0.000337945153353767,0.00337945153353767,23.3843507766724,20.5499000549316,27.3437995910645,81,93,0.553429950498434,0.591620206832886,0.310446739196777,0.803539752960205
"[-36,-34)",15985,86.7748430809106,86,9.10229742580375,29.5820776255708,0.000337694950063593,0.00337694950063593,23.0300006866455,20.5499000549316,26.3790493011475,81,92,0.535016157237956,0.55125880241394,0.303888946771622,0.775987148284912
"[-34,-32)",32601,84.9354743717646,84,8.84635952518245,29.8206621004566,0.0003404185171285,0.003404185171285,22.8927993774414,20.5457000732422,26.5625,79,89,0.470450763031295,0.451982319355011,0.231535509228706,0.700595080852509
"[-32,-30)",40025,83.6897326665875,83,8.84844609284139,30.0062785388128,0.000342537426242155,0.00342537426242155,23.1404991149902,20.576099395752,27.0415992736816,78,88,0.424277201109137,0.388774901628494,0.182035893201828,0.644095122814179
"[-30,-28)",32698,83.1605740415991,82,9.11648532259469,30.0180365296804,0.000342671649882196,0.00342671649882196,23.5555992126465,20.7611999511719,27.7007999420166,77,88,0.403921834186697,0.353825211524963,0.158553302288055,0.624475359916687
"[-28,-26)",23716,82.9359581438454,81,9.6139727531939,29.9466324200913,0.000341856534475928,0.00341856534475928,24.0995670954386,21.0480003356934,28.3509998321533,76,87,0.392136768747267,0.332990020513535,0.13996347784996,0.60598236322403
"[-26,-24)",17220,82.5759104868103,81,10.0635731409021,29.8571347031963,0.000340834871041054,0.00340834871041054,24.2187995910645,21.1072998046875,28.4799003601074,76,87,0.379622390182675,0.303888946771622,0.119056329131126,0.60598236322403
"[-24,-22)",15691,81.8522188935719,80,10.1582874437279,29.7688356164384,0.000339826890598611,0.00339826890598611,24.2439002990723,21.2245006561279,28.5156002044678,75,86,0.355226148869005,0.259646743535996,0.097904272377491,0.57145881652832
"[-22,-20)",13555,82.1993263775448,80,10.7136416517978,29.779794520548,0.000339951992243698,0.00339951992243698,24.3232002258301,21.2182998657227,28.8980007171631,75,87,0.363791089012226,0.26423853635788,0.0963500589132309,0.599635303020477
"[-20,-18)",10088,83.1825667446075,81,11.5489651728116,29.751598173516,0.000339630116136027,0.00339630116136027,24.2439002990723,21.0955748558044,28.4799003601074,75,89,0.390677973504024,0.296098321676254,0.102938041090965,0.673550128936768
"[-18,-16)",11425,87.0875339175836,84,14.1015223102938,29.7248858447489,0.000339325180876129,0.00339325180876129,24.4527254104614,21.1045250892639,29.2186910311381,76,96,0.483309841021524,0.442883461713791,0.13551265001297,0.857303738594055
"[-16,-14)",18295,91.0592625498939,88,15.3244737410626,29.7188356164384,0.000339256114342904,0.00339256114342904,23.8750991821289,20.9607992172241,28.7093496322632,78,103,0.569074001825726,0.626535058021545,0.206453293561935,0.930932432413101
"[-14,-12)",17974,92.0132106824246,90,15.5439552035711,29.7988584474886,0.000340169616980463,0.00340169616980463,24.3584003448486,20.9986743927002,29.3481001853943,79,104,0.581109837921368,0.652676512487233,0.238345056772232,0.926629841327667
"[-12,-10)",13476,90.8082554192457,88,15.0758585969726,29.9683219178082,0.000342104131481829,0.00342104131481829,24.4127750396729,21.2306003570557,29.2968997955322,79,102,0.553870229377777,0.592764357221313,0.214383199810982,0.894693911075592
"[-10,-8)",11454,89.2524682582922,86,14.6475399888996,30.0091894977169,0.000342570656366631,0.00342570656366631,24.780499458313,21.3589253425598,30.1054248809814,78,99,0.522579660327175,0.53337973356247,0.178530424833298,0.867793798446655
"[-8,-6)",11230,88.3794000977657,85,14.3274555329053,30.0604452054795,0.000343155767185839,0.00343155767185839,24.7868499755859,21.3593006134033,29.3847999572754,77,97.75,0.507928356961706,0.512309670448303,0.161524847149849,0.861640155315399
"[-6,-4)",12953,87.6503435503164,85,14.062881308046,29.9974885844749,0.000342437084297659,0.00342437084297659,24.8029508590698,21.5666255950928,29.3709001541138,77,97,0.493744360190085,0.482527405023575,0.145988211035728,0.84936511516571
"[-4,-2)",13837,87.0028802168456,84,14.0396713029606,30.0456621004566,0.000342987010279185,0.00342987010279185,25.0361003875732,21.7784004211426,30.1108250617981,76,96,0.479942875021408,0.451392740011215,0.126518353819847,0.845038816332817
"[-2,0)",27945,87.4345240652371,85,14.0755106357679,30.0406392694064,0.000342929672025187,0.00342929672025187,26.0261993408203,22.1881003379822,30.6660504341126,76,96,0.49709157777959,0.482527405023575,0.132073774933815,0.87007200717926
"[0,2)",49205,89.8611748807225,88,14.4316069181107,30.17899543379,0.000344509080294406,0.00344509080294406,26.175199508667,22.4813003540039,31.2190570831299,78,100,0.563169553245443,0.634397923946381,0.199091851711273,0.917699098587036
"[2,4)",4860,88.3547736650632,86,12.3572226151172,30.2752853881279,0.000345608280686391,0.00345608280686391,25.895299911499,22.432300567627,29.7552998860677,79,96,0.541957709719063,0.559742093086243,0.223952785134316,0.864531695842743
"[4,6)",6249,86.0599935998305,84,10.4654216240149,30.1489726027397,0.000344166353912554,0.00344166353912554,25.6054992675781,22.432300567627,29.9858503341675,79,91,0.491403617673592,0.475667029619217,0.214383199810982,0.769014298915863
"[6,8)",6800,86.2436936265534,85,10.7668479404315,30.2097602739726,0.000344860277100144,0.00344860277100144,25.4597333272298,22.1786751747131,30.0620994567871,79,92,0.493884908528757,0.485018163919449,0.218639716506004,0.769014298915863
"[8,10)",5842,86.5742668030837,85,10.6793739588624,30.1917808219178,0.000344655032213674,0.00344655032213674,25.7370491027832,22.5259504318237,29.739049911499,79,92,0.506674772856302,0.501422226428986,0.237652644515038,0.788468837738037
"[10,12)",5150,86.73632685936,85,10.4924405188269,30.0930936073059,0.000343528465836826,0.00343528465836826,26.1285991668701,22.589599609375,30.4437999725342,80,92,0.513559739739609,0.512309670448303,0.247641786932945,0.788468837738037
"[12,14)",5210,86.8816378758797,85,10.700307075797,30.1871575342466,0.000344602254957153,0.00344602254957153,26.5687246322632,23.1105246543884,31.0662999153137,80,92,0.517172211558115,0.522592842578888,0.252423256635666,0.789116322994232
"[14,16)",4974,87.1439049719102,86,10.6974451719181,30.2172374429224,0.000344945632910073,0.00344945632910073,26.3465003967285,22.7498745918274,30.4172258377075,80,92,0.523694356806132,0.532118618488312,0.26423853635788,0.798229813575745
"[16,18)",5117,87.1355090876541,86,10.7273107123473,30.0810502283105,0.000343390984341444,0.00343390984341444,25.5296001434326,22.5736756324768,30.0789251327515,80,92,0.52304761596986,0.532118618488312,0.254832208156586,0.798765242099762
"[18,20)",5080,86.7764763779528,85,10.6591018304133,30.1903538812785,0.00034463874293697,0.0034463874293697,25.8875999450684,22.4954500198364,30.8288497924805,79,92,0.515406546420986,0.523437798023224,0.240422293543816,0.788468837738037
"[20,22)",4960,87.2064314519206,86,10.7518228616532,30.2257420091324,0.000345042716999229,0.00345042716999229,25.5995998382568,22.5922746658325,30.1361746788025,80,93,0.527251488036383,0.544696927070618,0.26423853635788,0.805405974388123
"[22,24)",4809,87.0787828386867,86,10.6718000504703,30.2913242009132,0.000345791372156544,0.00345791372156544,26.1175994873047,22.0437002182007,31.0283625125885,80,93,0.524087586020668,0.53337973356247,0.259646743535996,0.798229813575745
"[24,26)",4777,86.945061152302,86,10.506078613266,30.1738584474886,0.000344450438898272,0.00344450438898272,25.8092002868652,22.1002998352051,30.1161994934082,80,93,0.5217639485574,0.532118618488312,0.252423256635666,0.803539752960205
"[26,28)",4501,87.2640302141516,86,10.5789025518051,30.2819634703196,0.000345684514501366,0.00345684514501366,25.4902496337891,21.7107491493225,30.7325005531311,80,93,0.532091259403277,0.55125880241394,0.26423853635788,0.805405974388123
"[28,30)",4362,87.7983264564539,87,10.5249173928558,30.2790525114155,0.00034565128437689,0.0034565128437689,25.9097247123718,22.4801247119904,30.4692249298096,81,93,0.549221176410915,0.580274820327759,0.288809537887573,0.815606594085693
"[30,32)",4304,87.671875,86,10.7156066948485,30.372602739726,0.000346719209357603,0.00346719209357603,25.4790000915527,21.9836168289185,30.4833002090454,80,93,0.542940563051641,0.562655910849571,0.280750006437302,0.816031396389008
"[32,34)",4378,87.7968707182681,86,10.6478144788364,30.3707762557078,0.000346698359083422,0.00346698359083422,25.8477993011475,22.3173494338989,30.5605165163676,81,93,0.54633300173849,0.571325957775116,0.288302302360535,0.816031396389008
"[34,36)",4350,87.9876245193189,87,10.8831341528407,30.1930365296804,0.000344669366777173,0.00344669366777173,25.7555001576742,22.0336332321167,30.8529500961304,81,93,0.550888620853752,0.580348551273346,0.288809537887573,0.819375976920128
"[36,38)",4326,87.8350285097858,86,10.789505527692,30.2264840182648,0.000345051187423115,0.00345051187423115,26.0790004730225,22.3132991790771,30.8159747123718,80,94,0.545395022882812,0.565534025430679,0.280750006437302,0.822624087333679
"[38,40)",4513,88.0676157769834,87,10.8909606058861,30.149200913242,0.000344168960196827,0.00344168960196827,25.4027996063232,21.8724002838135,29.6875,81,94,0.553239851263814,0.591620206832886,0.288809537887573,0.828004896640778
"[40,42)",4602,87.9318883117517,87,10.5013981859544,30.3188356164384,0.000346105429411397,0.00346105429411397,25.4809299468994,21.915424823761,30.1735501289368,81,94,0.552876545744473,0.591620206832886,0.29818993806839,0.820490837097168
"[42,44)",4358,87.6705675368756,86,10.3193179642957,30.3025114155251,0.000345919080085903,0.00345919080085903,25.3772598266602,21.4158992767334,30.407600402832,81,93,0.546664511887387,0.57145881652832,0.296098321676254,0.814068287611008
"[44,46)",4362,87.7344108207244,86,10.5411183769689,30.3474885844749,0.000346432518087613,0.00346432518087613,25,21.8299999237061,29.4739999771118,81,93,0.544450618939486,0.571325957775116,0.288809537887573,0.810831308364868
